Name Football Player,International ,Date of birth,Place of Birth ,Country of Birth,Current Country ,Nationality Father,Nationality Mother,Nationality Grandfather,Nationality Grandmother,Foreign-born,FIFA World Cup
Viktor Serebryanikov,Soviet Union,29-Mar-40,Zaporizhzhia,Soviet Union,Ukraine,,,,,1,1962
Milutin Šoškić,Yugoslavia,31-Dec-37,Peć,Yugoslavia,Kosovo,,,,,1,1962
Vladimir Durković,Yugoslavia,6-Nov-37,Đakovica,Yugoslavia,Kosovo,,,,,1,1962
Fahrudin Jusufi,Yugoslavia,8-Dec-39,Zlipotok,Yugoslavia,Kosovo,,,,,1,1962
Petar Radaković,Yugoslavia,2-Feb-37,Rijeka,Italy / Yugoslavia,Croatia,,,,,1,1962
"Vladimir ""Vlatko"" Marković",Yugoslavia,1-Jan-37,Bugojno,Yugoslavia,Bosnia and Herzegovina,,,,,1,1962
Andrija Anković,Yugoslavia,16-Jul-37,Gabela,Yugoslavia,Bosnia and Herzegovina,,,,,1,1962
Dragoslav Šekularac,Yugoslavia,8-Nov-37,Štip,Yugoslavia,Macedonia,Serbia,Macedonia,,,1,1962
Dražan Jerković,Yugoslavia,6 augustus 1936,Šibenik,Yugoslavia,Croatia,,,,,1,1962
"Josip ""Joško"" Skoblar",Yugoslavia,12-Mar-41,Privlaka,Yugoslavia,Croatia,,,,,1,1962
Vasilije Šijaković,Yugoslavia,31-Jul-29,Nikšić,Yugoslavia,Montenegro,,,,,1,1962
Željko Matuš,Yugoslavia,9 augustus 1935,Donja Stubica,Yugoslavia,Croatia,,,,,1,1962
Muhamed Mujić,Yugoslavia,25-Apr-32,Mostar,Yugoslavia,Bosnia and Herzegovina,,,,,1,1962
Mirko Stojanović,Yugoslavia,11-Jun-39,Zagreb,Yugoslavia,Croatia,,,,,1,1962
Nikola Stipić,Yugoslavia,18-Dec-37,Bihać,Yugoslavia,Bosnia and Herzegovina,,,,,1,1962
Jürgen Kurbjuhn,West Germany,26-Jul-40,Tilsit (now Sovetsk),East Prussia,Russia,,,,,1,1962
Humberto Maschio,Italy,20-Feb-33,Avellaneda,Argentina,,Argentina,Argentina,Italy,,1,1962
"José João Altafini (""Mazzola"")",Italy,24-Jul-38,Piracicaba,Brazil,,Italy,Italy,,,1,1962
Omar Sívori,Italy,2-Oct-35,San Nicolás de los Arroyos,Argentina,,Argentina,Italy,Italy,,1,1962
Ángelo Benedicto Miguel Sormani (Angelo Sormani),Italy,3-Jul-39,Jaú,Brazil,,Brazil,Brazil,Italy,Italy,1,1962
Roberto Frigerio,Switzerland,16-May-38,Le Havre,France,,,,,,1,1962
Norbert Eschmann,Switzerland,19-Mar-33,Besançon,France,,,,,,1,1962
Ján Popluhár,Czechoslovakia,12 augustus 1935,Bernolákovo,Czechoslovakia,Slovakia,,,,,1,1962
Jozef Štibrányi,Czechoslovakia,11-Apr-40,Vlčkovce,Czechoslovakia,Slovakia,,,,,1,1962
Adolf Scherer,Czechoslovakia,5-May-38,Vrútky,Czechoslovakia,Slovakia,,,,,1,1962
Pavol Molnár,Czechoslovakia,13-Feb-36,Bratislava,Czechoslovakia,Slovakia,,,,,1,1962
Jozef Adamec,Czechoslovakia,26-Feb-42,Vrbové,Czechoslovakia,Slovakia,,,,,1,1962
František Schmucker,Czechoslovakia,28-Jan-40,Horvátjárfalu,Hungary,,,,,,1,1962
Titus Buberník,Czechoslovakia,12-Oct-33,Pusté Úľany,Czechoslovakia,Slovakia,,,,,1,1962
Andrej Kvašňák,Czechoslovakia,19-May-36,Košice,Czechoslovakia,Slovakia,,,,,1,1962
Jozef Bomba,Czechoslovakia,30-Mar-39,Bardejov,Czechoslovakia,Slovakia,,,,,1,1962
Alfredo Stéfano Di Stéfano Laulhé,Spain,4-Jul-26,Barracas,Argentina,,Italy,Argentina,France,Ireland,1,1962
Ferenc Puskás (born Ferenc Purczeld),Spain,2-Apr-27,Budapest,Hungary,,Germany,Hungary,,,1,1962
Eulogio Martínez,Spain,11-Jun-35,Asunción,Paraguay,,,,,,1,1962
José Emilio Santamaría Iglesias (José Santamaría),Spain,31-Jul-29,Montevideo,Uruguay,,Spain,Spain,,,1,1962
Nestor Combin,France,29-Dec-40,Las Rosas,Argentina,,Argentina,Argentina,,,1,1966
Héctor De Bourgoing,France,23-Jul-34,Posadas,Argentina,,Argentina,Argentina,,,1,1966
Wolfgang Weber,West Germany,26-Jun-44,Schlawe (Sławno),Nazi Germany,Poland,,,,,1,1966
Sigfried Held,West Germany,7 augustus 1942,Freudenthal (now Bruntál),Sudetenland / Nazi Germany,Czech Republic,,,,,1,1966
Klaus-Dieter Sieloff,West Germany,27-Feb-42,Tilsit (now Sovetsk),East Prussia,Russia,,,,,1,1966
Dimitar Yakimov,Bulgaria,12 augustus 1941,Slegovo,Bulgaria,,,,,,1,1966
Vicente da Fonseca Lucas (Vicente),Portugal,24-Sep-35,Lourenço Marques,Portuguese Mozambique,Mozambique,,,,,1,1966
Hilário Rosário da Conceição (Hilário),Portugal,19-Mar-39,Lourenço Marques,Portuguese Mozambique,Mozambique,,,,,1,1966
Mário Esteves Coluna (Mário Coluna  Captain),Portugal,6 augustus 1935,Inhaca,Portuguese Mozambique,Mozambique,Portugal,Mozambique,,,1,1966
"Eusébio da Silva Ferreira (Eusébio  ""Black Panther""  ""the Black Pearl""  ""o Rei"")",Portugal,25-Jan-42,Lourenço Marques,Portuguese Mozambique,Mozambique,Angola,Mozambique,,,1,1966
Viktor Serebryanikov,Soviet Union,29-Mar-40,Zaporizhzhia,Soviet Union,Ukraine,,,,,1,1966
